출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020210094540,낚싯대 부속품용 부속품 고정구 및 부속품 고정 방법,20210720,A01K 87/04,3,14
1020210094647,"소켓, 소켓 유닛, 검사 지그 및 검사 지그 유닛",20210720,G01R 1/04,8,7
1020210094589,"용사 피막, 용사 피막의 제조 방법, 용사 부재 및 용사 재료",20210720,C23C 4/04,5,0
1020210092595,치과용 국소 마취액,20210715,A61K 31/573,2,4
1020210091509,카메라 모듈,20210713,H04N 5/232,6,7
1020210090801,"발광 소자, 발광 장치, 표시 장치, 전자 기기 및 조명 장치",20210712,H10K 50/00,4,9
1020210090280,"플랜트 제어 장치, 압연 제어 장치, 플랜트 제어 방법 및 플랜트 제어 프로그램",20210709,B21B 37/18,4,4
1020210089492,"통신 단말기, 통신 단말기의 제어 방법 및 저장 매체",20210708,H04W 4/80,2,23
1020210089491,"통신 단말기, 통신 단말기의 제어 방법 및 저장 매체",20210708,H04W 4/80,2,23
1020210088873,"불화이트륨 용사 재료 및 옥시불화이트륨 성막 부품, 및 그들의 제조 방법",20210707,C23C 4/10,2,2
1020210088980,표시 방법 및 기판 처리 장치,20210707,G05B 23/02,2,4
1020210088263,"상부 암 구동 회로, 상부 암 구동 회로의 제어 방법",20210706,H02M 7/5387,6,10
1020210088219,패턴 검사 장치 및 패턴의 윤곽 위치 취득 방법,20210706,G01B 11/24,2,12
1020210088404,기판 반송 시스템 및 기판 반송 방법,20210706,H01L 21/67,4,7
1020210088385,동역학 토크 보상에 기초하는 제어 방법 및 제어 장치,20210706,G05B 19/404,2,14
1020227020092,"열경화성 수지 조성물, 커버레이 필름, 접착 시트 및 플렉시블 프린트 배선판",20210705,C08L 63/00,4,4
1020210087160,발광 장치,20210702,H01L 29/786,2,4
1020210086318,산업용 로봇,20210701,B25J 9/16,3,2
1020210085381,"정보 처리 장치, 정보 처리 방법 및 프로그램",20210630,G06F 3/0484,3,17
1020237002778,진동 요법 시스템 및 장치,20210629,A61H 23/02,3,17
1020210084544,다결정 실리콘 제조 장치,20210629,C01B 33/035,4,3
1020210083028,진공 처리 장치 및 진공 처리 장치의 제어 방법,20210625,H01L 21/687,6,8
1020210083017,용량 센서 및 용량 센서의 제조 방법,20210625,G01N 27/22,5,1
1020210082025,낚싯대끝 보호구 및 이를 포함하는 낚싯대,20210624,A01K 87/00,4,6
1020227015629,"땜납 합금, 솔더 페이스트, 땜납 볼, 솔더 프리폼, 땜납 이음, 차량 탑재 전자 회로, ECU 전자 회로, 차량 탑재 전자 회로 장치, 및 ECU 전자 회로 장치",20210622,B23K 35/26,10,1
1020210079895,절단 장치 및 절단품의 제조 방법,20210621,B24B 49/02,2,6
1020210079206,플라스마 처리 장치,20210618,H01J 37/32,4,5
1020227039060,도금 장치 및 도금 방법,20210618,C25D 17/00,13,6
1020227015787,저항체 및 도금 장치,20210617,C25D 17/00,2,8
1020210078541,수지 성형 장치 및 수지 성형품의 제조 방법,20210617,B29C 43/58,5,4
1020210077329,반도체 장치,20210615,H01L 29/786,6,1
1020210077287,안전 캐비닛,20210615,B01L 1/02,3,12
1020227029391,도금 장치,20210611,C25D 21/10,6,5
1020227029232,도금 장치,20210604,C25D 21/12,5,10
1020210071414,"반도체 장치, 표시 장치, 및 전자 기기",20210602,H01L 29/786,2,0
